epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,280.918,1.06043,1.83236,1.41068,0.72986,0.68782,0.74962,0.53078,1.09749,1.16841,1.51431,0.00999167,0.00333056,0.00999167,0.00333056,0.00999167,0.00333056,0.00999167,0.00333056
2,538.294,1.07197,1.2389,1.41229,0.68175,0.57268,0.62968,0.40349,1.3185,1.65684,1.76337,0.0197937,0.00659792,0.0197937,0.00659792,0.0197937,0.00659792,0.0197937,0.00659792
3,778.28,1.17381,1.43732,1.49646,0.64537,0.57504,0.61224,0.39377,1.31683,1.53342,1.75852,0.0293978,0.00979928,0.0293978,0.00979928,0.0293978,0.00979928,0.0293978,0.00979928
4,1011.67,1.21576,1.48561,1.5196,0.71446,0.6386,0.69983,0.47165,1.24647,1.31035,1.64407,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1252.06,1.13826,1.32378,1.46619,0.76409,0.69155,0.75624,0.51725,1.1588,1.16168,1.57661,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1495.61,1.09181,1.20237,1.42945,0.76527,0.737,0.78905,0.57048,1.0909,1.06862,1.5189,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1740.98,1.05531,1.12951,1.40017,0.81081,0.73415,0.80552,0.589,1.04485,0.98616,1.45528,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1998.92,1.01919,1.06398,1.3727,0.82617,0.7257,0.82224,0.60301,1.02882,0.91172,1.43358,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2270.43,1.00056,1.01885,1.35949,0.83552,0.73963,0.82927,0.6175,1.00738,0.88669,1.41455,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2519.96,0.97807,0.97794,1.33847,0.8418,0.77227,0.84872,0.6445,0.97081,0.8276,1.37947,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2775.05,0.96087,0.94078,1.32562,0.85506,0.77811,0.85262,0.64584,0.95794,0.80807,1.36039,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3046.37,0.94647,0.9146,1.32054,0.8638,0.79329,0.86389,0.66093,0.94085,0.77871,1.34738,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3319.09,0.93137,0.89456,1.30716,0.86602,0.79196,0.86491,0.66348,0.94056,0.74567,1.35342,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3593.39,0.92219,0.86436,1.29539,0.86274,0.78574,0.87293,0.67735,0.92134,0.74066,1.32577,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3868.51,0.90893,0.84171,1.28748,0.86749,0.8032,0.87593,0.67847,0.91582,0.74856,1.31766,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4142.08,0.89518,0.83096,1.28021,0.88149,0.79581,0.87873,0.681,0.8994,0.69707,1.30498,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4412.81,0.88826,0.81577,1.27441,0.85034,0.83012,0.88332,0.69016,0.88536,0.68028,1.29055,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4682.07,0.87549,0.79525,1.26374,0.89149,0.81558,0.89507,0.70151,0.88394,0.669,1.28468,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4952.52,0.87367,0.78962,1.2609,0.85499,0.84873,0.89472,0.70081,0.88448,0.67368,1.27859,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5222.32,0.8652,0.77341,1.25318,0.87291,0.83185,0.89769,0.70341,0.8742,0.65433,1.26635,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5489.91,0.85422,0.76178,1.2443,0.85007,0.86331,0.90023,0.70538,0.87005,0.64325,1.26932,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5766.15,0.85328,0.75269,1.24708,0.86392,0.8302,0.89986,0.71079,0.86442,0.63613,1.26069,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6037.44,0.84545,0.73733,1.24006,0.89164,0.83267,0.90514,0.71468,0.85509,0.62796,1.25919,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6315.63,0.84326,0.74239,1.24152,0.88628,0.84092,0.90658,0.71935,0.84355,0.61736,1.24706,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6587.35,0.82703,0.71689,1.22962,0.84935,0.8713,0.90736,0.72167,0.84589,0.61164,1.24921,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6859.43,0.82323,0.71566,1.22757,0.84465,0.86872,0.90545,0.72157,0.83122,0.60546,1.23606,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,7129.16,0.81689,0.7038,1.22151,0.8653,0.85658,0.90617,0.72624,0.82936,0.60032,1.23431,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7401.49,0.82003,0.70123,1.22217,0.85028,0.87798,0.90951,0.72321,0.82704,0.58846,1.23223,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7675.87,0.80654,0.68847,1.21307,0.85303,0.87786,0.91029,0.72772,0.82004,0.58436,1.22314,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7947.29,0.80152,0.68172,1.20836,0.8889,0.84084,0.90814,0.72631,0.82005,0.58104,1.22284,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8220.77,0.79762,0.67391,1.20817,0.88532,0.84352,0.90705,0.72769,0.81711,0.58327,1.22343,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8485.51,0.79141,0.66454,1.20259,0.84542,0.88509,0.91071,0.72899,0.81466,0.57222,1.21814,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8746.44,0.78776,0.65421,1.20196,0.86147,0.87625,0.91144,0.73453,0.80764,0.56661,1.21012,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9006.25,0.78836,0.65867,1.19899,0.89563,0.84216,0.91481,0.73557,0.80123,0.56251,1.20871,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9269.35,0.78071,0.64974,1.19448,0.85584,0.87816,0.91603,0.73724,0.80015,0.55879,1.20564,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9530.24,0.77456,0.64486,1.18958,0.85142,0.89203,0.91721,0.73746,0.80145,0.55984,1.20662,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9791.65,0.77128,0.63536,1.18725,0.88337,0.86106,0.9168,0.73764,0.79938,0.55544,1.2056,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10054.1,0.76655,0.62899,1.18584,0.89035,0.85794,0.91748,0.73904,0.79934,0.55322,1.20379,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10283.5,0.76728,0.6253,1.18423,0.88582,0.86679,0.91645,0.74005,0.79668,0.54863,1.20077,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10514,0.75743,0.62293,1.17924,0.89572,0.85605,0.91509,0.74078,0.79505,0.54897,1.19904,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10767.5,0.7569,0.61826,1.17759,0.89718,0.85915,0.91718,0.74048,0.79406,0.54436,1.19922,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11043.4,0.75506,0.61418,1.17571,0.89228,0.85539,0.91781,0.7406,0.79183,0.54057,1.19677,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
